bookID,average_rating,language_code,num_pages,ratings_count,text_reviews_count
4,4.42,eng,352,6333,244
9,3.74,eng,152,19,1
12,4.38,eng,815,3628,254
14,4.22,eng,215,4930,460
16,4.22,eng,6,1266,253
18,4.38,eng,815,2877,195
22,3.44,eng,55,7270,499
23,3.87,eng,256,2088,131
25,3.9,eng,304,49240,2211
27,3.86,eng,254,48701,2238
29,3.93,eng,270,28489,2085
36,4.53,eng,218,19822,46
37,4.5,eng,224,359,6
45,3.84,eng,558,1430,59
51,4.0,eng,48,36,2
53,3.88,eng,144,2067,334
54,4.33,eng,56,6,0
55,3.45,eng,228,99,16
57,3.76,eng,304,167,4
58,3.6,eng,256,978,111
59,4.06,eng,137,4454,302
61,4.17,eng,228,1176,96
63,3.55,eng,339,301,43
66,3.98,eng,369,345,12
68,3.83,eng,14,55,12
69,3.83,eng,576,22,3
71,3.83,eng,334,1456,82
72,4.13,eng,352,52,4
74,4.42,eng,416,562,37
75,3.95,eng,248,1630,203
76,4.17,eng,128,268,22
77,4.24,eng,288,3498,305
78,4.34,eng,720,3115,228
79,4.22,eng,448,5704,261
80,3.92,fre,160,698,52
81,4.23,eng,288,542,36
83,4.23,eng,208,1341,98
85,3.75,eng,81,1423,70
86,3.84,eng,249,2766,64
89,3.94,eng,138,31,1
90,3.77,eng,128,62,4
91,4.46,eng,192,860,53
92,3.68,eng,108,77,2
94,3.25,eng,192,55,5
96,4.46,eng,192,34,6
98,3.89,eng,832,11797,659
99,3.82,eng,123,34,8
100,3.78,eng,128,78,4
103,3.84,eng,423,2785,166
105,3.91,eng,436,38778,568
107,4.01,eng,592,784,21
109,3.86,eng,480,272,20
110,3.88,eng,426,4789,83
117,3.86,eng,471,45388,644
119,4.59,eng,192,26153,102
123,4.35,eng,291,45,13
129,4.28,eng,256,16,1
130,3.34,eng,205,174,16
131,3.67,eng,240,10,0
132,3.48,eng,336,76,9
133,3.5,eng,386,111,9
135,3.62,eng,260,24,0
137,3.55,eng,384,55,4
138,4.27,eng,260,9,0
139,3.39,eng,391,22,1
140,3.89,eng,864,17,3
141,3.84,eng,873,166,4
142,4.12,eng,240,50,5
144,4.08,eng,206,13,2
147,3.48,eng,514,64,1
151,4.05,eng,838,16643,1851
153,4.05,eng,837,2904,309
154,3.85,eng,80,16,3
